Country,Year,Risk Points for Foreign Debt as a % of GDP,Risk Points for Exchange Rate Stability,Risk Points for Debt Service as a % of XGS,Risk Points for Current Account as % of XGS,Risk Points for International Liquidity,Aggregate Financial Risk
Czechoslovakia,1990,7.29,6,7.42,11.96,NA,32.67
Czechoslovakia,1991,7,6,8.17,11.58,NA,32.75
Czechoslovakia,1992,6.88,6,9.13,11,NA,33.01
Czechoslovakia,1993,NA,NA,NA,NA,NA,0
Czechoslovakia,1994,NA,NA,NA,NA,NA,0
Czechoslovakia,1995,NA,NA,NA,NA,NA,0
Czechoslovakia,1996,NA,NA,NA,NA,NA,0
Czechoslovakia,1997,NA,NA,NA,NA,NA,0
Czechoslovakia,1998,NA,NA,NA,NA,NA,0
Czechoslovakia,1999,NA,NA,NA,NA,NA,0
Czechoslovakia,2000,NA,NA,NA,NA,NA,0
Czechoslovakia,2001,NA,NA,NA,NA,NA,0
Czechoslovakia,2002,NA,NA,NA,NA,NA,0
Czechoslovakia,2003,NA,NA,NA,NA,NA,0
Czechoslovakia,2004,NA,NA,NA,NA,NA,0
Czechoslovakia,2005,NA,NA,NA,NA,NA,0
Czechoslovakia,2006,NA,NA,NA,NA,NA,0
Czechoslovakia,2007,NA,NA,NA,NA,NA,0
Czechoslovakia,2008,NA,NA,NA,NA,NA,0
Czechoslovakia,2009,NA,NA,NA,NA,NA,0
Czechoslovakia,2010,NA,NA,NA,NA,NA,0
Czechoslovakia,2011,NA,NA,NA,NA,NA,0
Czechoslovakia,2012,NA,NA,NA,NA,NA,0
Czechoslovakia,2013,NA,NA,NA,NA,NA,0
Denmark,1984,7.77,8.67,7.5,11.71,1.83,37.48
Denmark,1985,7.5,9,7.5,11.75,1.79,37.54
Denmark,1986,7.75,9,6.75,11.29,1.71,36.5
Denmark,1987,7.71,7.58,5.75,11.29,1.96,34.29
Denmark,1988,7.5,7,5.96,11.5,2.88,34.84
Denmark,1989,7.42,7,6.29,11.92,2.5,35.13
Denmark,1990,7.42,7,6.38,12,1.92,34.72
Denmark,1991,7.5,7,5.5,12.5,2.04,34.54
Denmark,1992,8.75,9,6.5,12.38,1.54,38.17
Denmark,1993,9.17,9,7,13,1.75,39.92
Denmark,1994,9.5,9,8.17,12.75,2.04,41.46
Denmark,1995,9.5,9,8.5,12.67,1.96,41.63
Denmark,1996,9.5,9,8.5,12.75,1.71,41.46
Denmark,1997,9.5,8.63,8.5,12.08,2.29,41
Denmark,1998,9.46,9.58,8.5,11.54,2.29,41.37
Denmark,1999,9,9.46,8.5,12.04,0,39
Denmark,2000,8.08,7.79,8.5,12.42,0,36.79
Denmark,2001,8.17,9.38,8.5,12.42,2.83,41.3
Denmark,2002,8,9.88,8.5,12.5,3,41.88
Denmark,2003,8,9.21,8.5,12.54,3.29,41.54
Denmark,2004,8.42,9.79,8.67,13,3.92,43.8
Denmark,2005,7.38,9.79,9.42,12.83,3.58,43
Denmark,2006,7,9.71,9.5,12.5,3.46,42.17
Denmark,2007,8.17,9.92,9.5,12.5,2.71,42.8
Denmark,2008,9,9.46,9.75,12.5,2.29,43
Denmark,2009,9,8.67,10,12.54,2.5,42.71
Denmark,2010,8.96,8.88,9.96,13,2.58,43.38
Denmark,2011,8.42,9.79,9.58,13,3.58,44.37
Denmark,2012,8,9.25,10,13,4,44.25
Denmark,2013,7.67,10,10,13.25,4,44.92
Dominican Republic,1984,4.16,3.5,7,9.67,0,24.33
Dominican Republic,1985,4.5,3,7.92,10.29,0,25.71
Dominican Republic,1986,4.25,3,7.67,11,0,25.92
Dominican Republic,1987,3.88,3,7.71,10.79,0,25.38
Dominican Republic,1988,3.17,3,8,11.5,0,25.67
Dominican Republic,1989,3,3,7.5,11.04,0,24.54
Dominican Republic,1990,3.5,3.83,7.58,11.46,0,26.37
Dominican Republic,1991,4,4,8.17,12.13,0,28.3
Dominican Republic,1992,4.08,4.75,9,12,0,29.83
Dominican Republic,1993,5.67,5,9.33,10.83,0.17,31
Dominican Republic,1994,6.5,5,9,11.21,0.54,32.25
Dominican Republic,1995,6.5,5,9,11.29,0,31.79
Dominican Republic,1996,6.5,5,8.5,11.42,0,31.42
Dominican Republic,1997,6.29,6.67,8,12.25,0,33.21
Dominican Republic,1998,6.63,9.46,8,12.38,0,36.47
Dominican Republic,1999,7,9.5,8,12,0.38,36.88
Dominican Republic,2000,7.5,9.83,8,12,0.5,37.83
Dominican Republic,2001,7.5,9.75,8,11.92,0.13,37.3
Dominican Republic,2002,7.5,9.21,8,11.5,0,36.21
Dominican Republic,2003,7.5,3.33,9.38,11.67,0,31.88
Dominican Republic,2004,6.5,3.63,9.5,12.83,0.08,32.54
Dominican Republic,2005,6.46,6.54,9.5,12.54,0.5,35.54
Dominican Republic,2006,6.5,8.17,9.5,12.58,0.5,37.25
Dominican Republic,2007,6.5,10,9.5,12,0.5,38.5
Dominican Republic,2008,7.33,9.96,9.5,11,0.5,38.29
Dominican Republic,2009,7.5,9.92,9.33,11.75,1.25,39.75
Dominican Republic,2010,7.79,10,9.29,11.67,1.21,39.96
Dominican Republic,2011,7.71,10,9.29,9.21,1,37.21
Dominican Republic,2012,7.5,10,9.5,9.58,0.75,37.33
Dominican Republic,2013,7.25,9.5,9.5,10.5,0.5,37.25
East Germany,1984,7.93,5,NA,NA,NA,12.93
East Germany,1985,7.83,6,2.5,14.63,NA,30.96
East Germany,1986,7.33,6,2.5,11,NA,26.83
East Germany,1987,6.54,6,1.58,12.33,NA,26.45
East Germany,1988,6.5,6,1.33,12.04,NA,25.87
East Germany,1989,6.5,6,0.5,11.5,NA,24.5
East Germany,1990,6.17,5.33,1.39,9.94,NA,22.83
East Germany,1991,NA,NA,NA,NA,NA,0
East Germany,1992,NA,NA,NA,NA,NA,0
East Germany,1993,NA,NA,NA,NA,NA,0
East Germany,1994,NA,NA,NA,NA,NA,0
East Germany,1995,NA,NA,NA,NA,NA,0
East Germany,1996,NA,NA,NA,NA,NA,0
East Germany,1997,NA,NA,NA,NA,NA,0
East Germany,1998,NA,NA,NA,NA,NA,0
East Germany,1999,NA,NA,NA,NA,NA,0
East Germany,2000,NA,NA,NA,NA,NA,0
East Germany,2001,NA,NA,NA,NA,NA,0
East Germany,2002,NA,NA,NA,NA,NA,0
East Germany,2003,NA,NA,NA,NA,NA,0
East Germany,2004,NA,NA,NA,NA,NA,0
East Germany,2005,NA,NA,NA,NA,NA,0
East Germany,2006,NA,NA,NA,NA,NA,0
East Germany,2007,NA,NA,NA,NA,NA,0
East Germany,2008,NA,NA,NA,NA,NA,0
East Germany,2009,NA,NA,NA,NA,NA,0
East Germany,2010,NA,NA,NA,NA,NA,0
East Germany,2011,NA,NA,NA,NA,NA,0
East Germany,2012,NA,NA,NA,NA,NA,0
East Germany,2013,NA,NA,NA,NA,NA,0
Ecuador,1984,3.27,3.75,3.17,11,0.29,21.48
Ecuador,1985,3.33,3,6.5,11.04,0,23.87
Ecuador,1986,3.71,3.17,5.33,10.67,0,22.88
Ecuador,1987,3.17,4.17,6.21,8.88,0,22.43
Ecuador,1988,4.21,4.08,6.42,9.29,0,24
Ecuador,1989,4.5,4.08,7.33,10.33,0,26.24
Ecuador,1990,4.42,5.92,7.21,10.46,0,28.01
Ecuador,1991,5.25,6.25,6.17,12.33,0,30
Ecuador,1992,6.04,6.42,7.5,11.58,0,31.54
Ecuador,1993,5.75,7,5.67,12,0.5,30.92
Ecuador,1994,4.96,7,6.21,11.67,2.63,32.47
Ecuador,1995,5.04,7,7.29,10.33,2.92,32.58
Ecuador,1996,3.83,7,6.75,10.88,2.42,30.88
Ecuador,1997,3.33,6.75,3.88,11.75,2,27.71
Ecuador,1998,4.21,5.17,6.5,12.42,2.46,30.76
Ecuador,1999,4.13,2,6,12.29,2.33,26.75
Ecuador,2000,2.67,0.58,5.5,9.5,2.5,20.75
Ecuador,2001,1.67,9.08,6,12.38,2.5,31.63
Ecuador,2002,1.5,10,6,11.5,2.5,31.5
Ecuador,2003,3.17,10,7.33,11.33,1.5,33.33
Ecuador,2004,4.42,10,7.08,11.67,1.08,34.25
Ecuador,2005,5,10,7.5,12.13,1,35.63
Ecuador,2006,5.25,10,7.88,11.96,1,36.09
Ecuador,2007,5.75,10,7.5,12.25,1,36.5
Ecuador,2008,6.42,10,7.21,12.83,0.88,37.34
Ecuador,2009,6.79,10,8.21,11.71,2.33,39.04
Ecuador,2010,7,10,9.17,12.33,2.5,41
Ecuador,2011,7.25,10,9.5,12,1.75,40.5
Ecuador,2012,7.5,10,9.75,11.75,1.25,40.25
Ecuador,2013,7.5,10,10,11.75,1,40.25
Egypt,1984,5.14,3.83,7.67,9.75,0,26.39
Egypt,1985,3.92,2.5,7.63,11.04,0,25.09
Egypt,1986,2.5,3,6.25,9.83,0,21.58
Egypt,1987,3.29,3.33,4.58,9.08,0,20.28
Egypt,1988,3.42,4,7.5,11,0,25.92
Egypt,1989,3.58,3.17,6.88,11.04,0,24.67
Egypt,1990,4.33,3,7.42,10.67,0,25.42
Egypt,1991,6.13,5.5,8,11.13,0,30.76
Egypt,1992,6.96,7,7.54,12.08,0,33.58
Egypt,1993,6.5,7,8.5,13.17,0,35.17
Egypt,1994,6.5,7,8.54,13,3,38.04
Egypt,1995,6.5,7,8.5,12.75,3.5,38.25
Egypt,1996,6.92,7,8,12.42,2.29,36.63
Egypt,1997,6.83,8,9.13,11.92,2.58,38.46
Egypt,1998,6.04,10,8,12,3.5,39.54
Egypt,1999,6.13,10,8.25,9.08,2.92,36.38
Egypt,2000,7.13,9.75,9,11.13,2,39.01
Egypt,2001,7.17,8.04,9,11.38,1.83,37.42
Egypt,2002,6.67,7.92,9,11.88,2,37.47
Egypt,2003,6.63,6.21,9,11.88,1.38,35.1
Egypt,2004,6.5,9.33,9.13,13,0.88,38.84
Egypt,2005,6.71,10,9,13.21,1.25,40.17
Egypt,2006,6.88,10,9.5,13,1.63,41.01
Egypt,2007,7.42,10,9.5,13,1.5,41.42
Egypt,2008,7.5,10,9.5,12.58,1.21,40.79
Egypt,2009,8,9.88,9.5,12.25,3,42.63
Egypt,2010,8.21,9.96,9.5,11.71,3,42.38
Egypt,2011,8.33,9.75,9.5,10.83,3.33,41.74
Egypt,2012,8.5,10,9.5,11.5,3.25,42.75
Egypt,2013,8.5,8.25,9.25,11,2.5,39.5
El Salvador,1984,3.2,4,8.08,10.75,0,26.03
El Salvador,1985,3.5,4,8.08,11.29,0,26.87
El Salvador,1986,3.5,4,8.08,11.29,0,26.87
El Salvador,1987,3.08,4,8.04,12,1.54,28.66
El Salvador,1988,3,3.42,7.79,11.17,2.29,27.67
El Salvador,1989,3,3,7.71,10.79,1.92,26.42
El Salvador,1990,3,3,7.71,10.25,2.75,26.71
El Salvador,1991,3,3,8.5,9.5,2.5,26.5
El Salvador,1992,3.79,3.92,8.17,8.88,2.08,26.84
El Salvador,1993,4.79,4.83,8.5,10.92,2.21,31.25
El Salvador,1994,5,5,8,10.88,2.17,31.05
El Salvador,1995,5.08,5,9,11.75,2.08,32.91
El Salvador,1996,5.5,5,9,10.58,2.08,32.16
El Salvador,1997,6.33,6.67,9,10.5,2,34.5
El Salvador,1998,8.17,10,9,11.42,2.08,40.67
El Salvador,1999,8.5,10,9,12.38,2.79,42.67
El Salvador,2000,8.5,10,9,11.5,3.5,42.5
El Salvador,2001,8.5,10,9,11.08,3.33,41.91
El Salvador,2002,8.5,10,9,11.25,3.5,42.25
El Salvador,2003,7,10,9,11.5,2,39.5
El Salvador,2004,5.5,10,9,11.25,2,37.75
El Salvador,2005,5,10,9,11.38,2,37.38
El Salvador,2006,5,10,9,11.5,2,37.5
El Salvador,2007,5.5,10,8.96,10.54,1.79,36.79
El Salvador,2008,5.67,10,7.83,9.17,1.67,34.34
El Salvador,2009,5.5,10,7.17,10.5,1.5,34.67
El Salvador,2010,5.04,10,8.13,11.21,2.25,36.63
El Salvador,2011,4.88,10,9.5,11.38,2,37.76
El Salvador,2012,4.88,10,9.13,11.38,1.63,37.02
El Salvador,2013,5,10,9,11.42,1.5,36.92
Estonia,1984,NA,NA,NA,NA,NA,0
Estonia,1985,NA,NA,NA,NA,NA,0
Estonia,1986,NA,NA,NA,NA,NA,0
Estonia,1987,NA,NA,NA,NA,NA,0
Estonia,1988,NA,NA,NA,NA,NA,0
Estonia,1989,NA,NA,NA,NA,NA,0
Estonia,1990,NA,NA,NA,NA,NA,0
Estonia,1991,NA,NA,NA,NA,NA,0
Estonia,1992,NA,NA,NA,NA,NA,0
Estonia,1993,NA,NA,NA,NA,NA,0
Estonia,1994,NA,NA,NA,NA,NA,0
Estonia,1995,NA,NA,NA,NA,NA,0
Estonia,1996,NA,NA,NA,NA,NA,0
Estonia,1997,NA,NA,NA,NA,NA,0
Estonia,1998,NA,9.78,NA,NA,NA,9.78
Estonia,1999,9,9.46,6.08,10.42,1.33,36.29
Estonia,2000,9,7.79,6,11,1.5,35.29
Estonia,2001,9,9.46,6,11.17,1.5,37.13
Estonia,2002,9,9.88,6,11,1.5,37.38
Estonia,2003,9,9.25,6,11,1.5,36.75
Estonia,2004,9,9.75,6,11,1.5,37.25
Estonia,2005,9,9.79,6,11,1.5,37.29
Estonia,2006,9,9.71,6,11,1.5,37.21
Estonia,2007,3.96,9.92,8.75,9.17,1.04,32.84
Estonia,2008,1.5,9.42,9.25,9.25,1.25,30.67
Estonia,2009,1.67,8.71,9.33,8.33,1.67,29.71
Estonia,2010,0.75,8.92,8.13,7.63,2,27.43
Estonia,2011,1,9.79,5,12.5,2,30.29
Estonia,2012,1.75,9.13,3.5,12.5,0.5,27.38
Estonia,2013,2,10,2.79,12.5,0,27.29
Ethiopia,1984,NA,NA,NA,NA,NA,0
Ethiopia,1985,3.5,3,8.29,6.96,0,21.75
Ethiopia,1986,3.25,3,8.5,10,0,24.75
Ethiopia,1987,3,3,7.58,10.96,1.13,25.67
Ethiopia,1988,3,3,7.42,12.5,0.63,26.55
Ethiopia,1989,3,3,6.5,10.54,0,23.04
Ethiopia,1990,3,3,6,8.92,0,20.92
Ethiopia,1991,3,3,6,9.54,0,21.54
Ethiopia,1992,2.96,3,6.42,7.04,0.67,20.09
Ethiopia,1993,2.5,3,6,6.13,0.79,18.42
Ethiopia,1994,2.5,3,6.96,9.96,1.63,24.05
Ethiopia,1995,2.75,3,8.71,10.88,2.21,27.55
Ethiopia,1996,4.13,3,8.38,10.5,3.33,29.34
Ethiopia,1997,5.08,4.92,8.5,10.63,2.83,31.96
Ethiopia,1998,4.67,9.63,8.04,11.79,1.46,35.59
Ethiopia,1999,1,9.46,3,10.17,1.33,24.96
Ethiopia,2000,1,8.5,4,11.5,1.13,26.13
Ethiopia,2001,2.88,9.88,6.33,11.17,0.25,30.51
Ethiopia,2002,2.88,9.88,7.88,10.75,0.38,31.77
Ethiopia,2003,2.5,10,7.5,10,1.5,31.5
Ethiopia,2004,2.5,10,7.5,10,1.5,31.5
Ethiopia,2005,2.5,10,7.5,10,1.5,31.5
Ethiopia,2006,2.5,10,7.5,10.5,3.5,34
Ethiopia,2007,6.63,10,7.04,11.42,3.96,39.05
Ethiopia,2008,8,9.42,7.33,10.83,3.67,39.25
Ethiopia,2009,8.5,6.67,7.5,10.08,3.29,36.04
Ethiopia,2010,8.42,6.88,7.58,9.33,2.83,35.04
Ethiopia,2011,7.5,7.67,9.25,8.75,1.5,34.67
Ethiopia,2012,7.5,9.83,10,9.71,2,39.04
Ethiopia,2013,7.5,9.83,10,10,2,39.33
Finland,1984,8.52,8.79,8,11.5,1.42,38.23
Finland,1985,8.5,8.92,7.42,12.25,1.96,39.05
Finland,1986,8.5,7.58,6.42,12.13,1.63,36.26
Finland,1987,8.5,7.67,5.5,11.92,1.75,35.34
Finland,1988,8.5,8,5.17,11.21,2.04,34.92
Finland,1989,8.5,8,4.79,11,2,34.29
Finland,1990,8.5,8,4.88,10.58,1.96,33.92
Finland,1991,8.5,8,2.83,9.92,2.46,31.71
Finland,1992,8.5,7.33,4.17,11,2.08,33.08
Finland,1993,8.25,6.83,5,11.58,2.29,33.95
Finland,1994,8.5,7,5.88,12.88,2.67,36.93
Finland,1995,8.13,7,5.83,12.88,2.67,36.51
Finland,1996,7.96,7.5,6.83,12.92,2,37.21
Finland,1997,7.5,7.83,8.5,13,2,38.83
Finland,1998,6,9.46,8.5,13.17,2,39.13
Finland,1999,5,9.42,8.5,13.46,1.17,37.55
Finland,2000,5,7.79,8.5,12.5,1.92,35.71
Finland,2001,5,9.42,8.5,13.13,2,38.05
Finland,2002,5,9.71,8.5,13.17,2,38.38
Finland,2003,4.29,9.25,8.5,13.29,2,37.33
Finland,2004,2.92,9.79,8.5,13.5,2.25,36.96
Finland,2005,3.42,9.79,8.5,13.5,2,37.21
Finland,2006,3.5,9.71,8.92,12.92,1.67,36.72
Finland,2007,3.5,9.92,9,13.33,1,36.75
Finland,2008,3.96,9.5,9.29,13.04,1,36.79
Finland,2009,4.21,8.67,9,12.75,1,35.63
Finland,2010,3.75,8.92,8.75,12.5,1,34.92
Finland,2011,3.5,9.79,8.54,12.5,1,35.33
Finland,2012,3.04,9.13,8.75,12.04,1,33.96
Finland,2013,3,10,8.79,12,1,34.79
France,1984,7.64,7.92,8,12.13,3.04,38.73
France,1985,7.75,9,7.25,12.46,3,39.46
France,1986,7.75,8.75,6.92,12.5,3.04,38.96
France,1987,7.92,9,6.5,12.38,2.83,38.63
France,1988,8.58,9,7.25,12,2.54,39.37
France,1989,9,9,7,12,2.08,39.08
France,1990,9,9,6.83,12,1.92,38.75
France,1991,9,9,6.17,12,1.5,37.67
France,1992,9.5,8.67,7,11.92,1.46,38.55
France,1993,8.67,7.17,7,12.5,1.46,36.8
France,1994,8.5,7,7,12.5,1.33,36.33
France,1995,8.5,7,7.21,12.5,1.42,36.63
France,1996,8.21,7.58,7,12.5,1.13,36.42
France,1997,8.25,7.92,7.54,12.54,1.54,37.79
France,1998,7.96,9.58,7.5,12.54,1.5,39.08
France,1999,7.5,9.38,7.5,13,1.29,38.67
France,2000,7.5,7.79,7.5,12.96,1.5,37.25
France,2001,7.67,9.42,8,12.63,1.5,39.22
France,2002,7.5,9.71,8,12.83,1.5,39.54
France,2003,7.71,9.25,8,13,1.5,39.46
France,2004,6.96,9.79,8.25,12.67,1.5,39.17
France,2005,7.29,9.79,8.04,12.25,1.21,38.58
France,2006,7.5,9.71,8,11.67,1,37.88
France,2007,7.5,9.92,8.46,11.96,1,38.84
France,2008,7.67,9.5,9,11.83,1,39
France,2009,7.79,8.67,10,11.08,1,38.54
France,2010,7.79,8.92,9.17,11.5,0.58,37.96
France,2011,7.08,9.79,8,11.5,0,36.37
France,2012,7,9.13,7.92,11.5,0,35.55
France,2013,7,10,7.5,11.5,0,36
Gabon,1984,6.07,6,9,13.42,2.43,36.92
Gabon,1985,5.88,6,8.63,12.5,2.38,35.39
Gabon,1986,6.13,6,8.5,12.17,2.38,35.18
Gabon,1987,6,6,8.25,9.21,0.75,30.21
Gabon,1988,6.38,6,9.13,8,0,29.51
Gabon,1989,6.5,6,7.96,9.33,0,29.79
Gabon,1990,6.5,6,9.5,11.33,0,33.33
Gabon,1991,6.5,5.5,9,13.08,0,34.08
Gabon,1992,6.42,5,9,12.75,0,33.17
Gabon,1993,5.5,6,9,11.92,0,32.42
Gabon,1994,5.5,6,7.83,11.46,0,30.79
Gabon,1995,5.5,6,8.04,12.17,0.08,31.79
Gabon,1996,6.04,6,8.33,12.92,0.08,33.37
Gabon,1997,5.33,6.58,8.63,13.5,0.75,34.79
Gabon,1998,3.17,9.58,8.83,13,0.83,35.41
Gabon,1999,4.58,9.38,8.96,13,0.04,35.96
Gabon,2000,4.08,7.79,9,12.5,0,33.37
Gabon,2001,4.5,9.5,9,12.5,0,35.5
Gabon,2002,4.5,9.88,9,12,0,35.38
Gabon,2003,4.38,9.25,9,11,0,33.63
Gabon,2004,4.33,9.79,8.42,11.83,0.58,34.95
Gabon,2005,5.04,9.79,8.83,13.5,1.33,38.49
Gabon,2006,6.5,9.71,9,13.58,1.83,40.62
Gabon,2007,7.63,9.92,9,14,2,42.55
Gabon,2008,8,9.42,9,14.17,1.83,42.42
Gabon,2009,8.58,8.67,9,13.33,3.25,42.83
Gabon,2010,8.75,8.92,9.42,13.5,4,44.59
Gabon,2011,8.42,9.83,9.5,14.58,4,46.33
Gabon,2012,8.63,9.13,9.5,13.83,3.54,44.63
Gabon,2013,8.54,10,9.5,13.71,3.75,45.5
Gambia,1984,NA,NA,NA,NA,NA,0
Gambia,1985,NA,NA,NA,NA,NA,0
Gambia,1986,7,4.58,7.5,0,0,19.08
Gambia,1987,6.83,5,7.83,2.63,0,22.29
Gambia,1988,6.5,5,8,12.83,0,32.33
Gambia,1989,6.5,5,8.5,13.33,0,33.33
Gambia,1990,6.67,5.33,8.63,12.83,0,33.46
Gambia,1991,7,6,8,13,0,34
Gambia,1992,7.04,6,7.88,12.42,0,33.34
Gambia,1993,6.5,6,8,12.5,0.17,33.17
Gambia,1994,6.33,6,8.5,12.67,1,34.5
Gambia,1995,3.33,5.42,8.75,8.79,1,27.29
Gambia,1996,2.5,5,9,11,2.33,29.83
Gambia,1997,3,6.67,9,11.5,0.83,31
Gambia,1998,4,10,9,12,0.5,35.5
Gambia,1999,2.63,8.63,9,11.08,2.54,33.88
Gambia,2000,2.5,8.63,9.17,11,2.63,33.93
Gambia,2001,2.5,6.21,8.79,11,2.83,31.33
Gambia,2002,1.88,7,8.71,11,3,31.59
Gambia,2003,1,4.92,9,11,3,28.92
Gambia,2004,1,8.29,9,11,3,32.29
Gambia,2005,1,10,9,11,2.5,33.5
Gambia,2006,1,10,9,11,2.5,33.5
Gambia,2007,6.5,9.29,8.08,11,2.5,37.37
Gambia,2008,6.38,8.38,8.21,10.58,2.5,36.05
Gambia,2009,5.08,7.08,6.83,5.83,2.5,27.32
Gambia,2010,5.33,9.58,4.5,0,2.5,21.91
Gambia,2011,5.5,9.83,4.5,0,2.5,22.33
Gambia,2012,5.5,8.67,6.58,3.33,2.92,27
Gambia,2013,5.21,8.71,9.5,8.58,2.92,34.92
Germany,1984,NA,NA,NA,NA,NA,0
Germany,1985,NA,NA,NA,NA,NA,0
Germany,1986,NA,NA,NA,NA,NA,0
Germany,1987,NA,NA,NA,NA,NA,0
Germany,1988,NA,NA,NA,NA,NA,0
Germany,1989,NA,NA,NA,NA,NA,0
Germany,1990,NA,NA,NA,NA,NA,0
Germany,1991,10,10,8.33,12.75,1.25,42.33
Germany,1992,10,9.67,8.63,12,1.46,41.76
Germany,1993,9.17,9,8,11.83,1.67,39.67
Germany,1994,9,9,7.83,11.79,2.04,39.66
Germany,1995,9,9,7.5,12,1.75,39.25
Germany,1996,8.71,9,6.96,12,1.5,38.17
Germany,1997,8.67,8.54,7.67,12,1.33,38.21
Germany,1998,8.92,9.58,7.92,12.08,1.5,40
Germany,1999,9,9.38,7.5,12.04,1.42,39.34
Germany,2000,9,7.79,7.5,12.08,1.5,37.87
Germany,2001,9,9.42,7.5,12,1.5,39.42
Germany,2002,9,9.71,7.5,12.21,1.5,39.92
Germany,2003,9,9.25,9.33,12.58,1.04,41.2
Germany,2004,7.75,9.83,9.5,12.63,1,40.71
Germany,2005,7.25,9.79,9.5,13.17,1,40.71
Germany,2006,6.5,9.71,9.5,13,1,39.71
Germany,2007,6.5,9.92,9.5,13,1,39.92
Germany,2008,9.38,9.5,9.5,13,0.5,41.88
Germany,2009,9,8.67,9.5,13,0.63,40.8
Germany,2010,9,8.92,9.04,13,1,40.96
Germany,2011,9,9.79,9.17,13,1,41.96
Germany,2012,8.96,9.13,9.5,13,1,41.59
Germany,2013,8.5,10,9.5,13,1,42
Ghana,1984,3.89,3.79,9,3.83,0.08,20.59
Ghana,1985,4.58,4.17,8.63,9,0,26.38
Ghana,1986,4.96,5,8.5,11.33,0,29.79
Ghana,1987,5.54,5,8.88,10.5,0,29.92
Ghana,1988,6,5.42,8.67,10.67,0,30.76
Ghana,1989,6,6.67,7.67,10.83,0,31.17
Ghana,1990,6,6,7.92,10.96,0,30.88
Ghana,1991,6,6,6.5,11,0,29.5
Ghana,1992,5.92,6,7,10.58,0,29.5
Ghana,1993,5,6,7.5,10.25,0,28.75
Ghana,1994,5,6,8,10.58,0,29.58
Ghana,1995,5,6,8.29,11.13,0,30.42
Ghana,1996,5,6,7.42,11,0.08,29.5
Ghana,1997,4.54,5.79,6.75,11,0.75,28.83
Ghana,1998,4.5,8.25,6.25,11,1.5,31.5
Ghana,1999,4.04,8.71,6.46,11.04,0.38,30.63
Ghana,2000,3.42,1.17,7,10.42,0.38,22.39
Ghana,2001,3,5.13,7,10.38,0.5,26.01
Ghana,2002,3,9,7,10.88,0.5,30.38
Ghana,2003,2.83,9.25,7.33,11.58,0.79,31.78
Ghana,2004,3.58,9.83,9.67,12,1.83,36.91
Ghana,2005,3.92,10,9.58,11.83,2,37.33
Ghana,2006,4.08,10,9.67,11.67,1.67,37.09
Ghana,2007,7.04,9.83,10,11.04,1.75,39.66
Ghana,2008,7.58,8.33,10,10.5,1.5,37.91
Ghana,2009,7.5,5.42,9.54,10.04,1.5,34
Ghana,2010,6.92,10,9.83,11.04,1.5,39.29
Ghana,2011,6.5,9.21,9.63,11.54,1.5,38.38
Ghana,2012,7.88,7,10,10.29,2.46,37.63
Ghana,2013,7.79,8.58,10,9.46,2,37.83
Greece,1984,5.59,4.75,6.92,9.58,1.71,28.55
Greece,1985,5.38,5,8.13,9.96,1.88,30.35
Greece,1986,4.5,5,7.54,10.13,1.71,28.88
Greece,1987,4.92,5,6.25,10.63,1.79,28.59
Greece,1988,5,4.5,6.13,10.63,2.42,28.68
Greece,1989,5,4,6.96,11,2.21,29.17
Greece,1990,4.79,5.17,6.5,10.58,1.88,28.92
Greece,1991,4.5,6.58,7,10.17,1.46,29.71
Greece,1992,4.83,8,7.08,11.25,1.17,32.33
Greece,1993,6.04,8,6.5,11.5,1.63,33.67
Greece,1994,6,8,6.21,11.71,2.58,34.5
Greece,1995,6,8,6.04,11.5,3.83,35.37
Greece,1996,6,8,6.29,11.25,3.54,35.08
Greece,1997,6.21,7.83,4.83,11,3.92,33.79
Greece,1998,6.96,8.92,4,11.25,3.54,34.67
Greece,1999,6.5,9.58,4,10.67,4.21,34.96
Greece,2000,6.5,6.96,4,10.71,4,32.17
Greece,2001,6.5,9.21,4,9.96,3.5,33.17
Greece,2002,6.5,9.71,4,9.75,3.5,33.46
Greece,2003,6.71,9.25,7.67,9.79,2.13,35.55
Greece,2004,6.5,9.83,8,10.04,1.13,35.5
Greece,2005,5.42,9.79,8.33,10.63,0.17,34.34
Greece,2006,6,9.71,8.75,10.33,0,34.79
Greece,2007,6.5,9.92,8.5,8.79,0,33.71
Greece,2008,7.17,9.5,8.5,7.5,0,32.67
Greece,2009,7.5,8.67,8.88,8.38,0,33.43
Greece,2010,2.83,8.92,8.33,10,0,30.08
Greece,2011,2.25,9.79,8,9.75,0,29.79
Greece,2012,3.67,9.13,7.58,9.75,0,30.13
Greece,2013,3,10,7.25,12,0,32.25
Guatemala,1984,3.66,4,8.38,9.75,0.08,25.87
Guatemala,1985,3.17,4,8.13,9.33,0,24.63
Guatemala,1986,3,4,6,9.42,0,22.42
Guatemala,1987,3,4.67,6.79,11.29,0,25.75
Guatemala,1988,3,4.83,6.33,10.75,0,24.91
Guatemala,1989,3,4,6.71,9.33,1.17,24.21
Guatemala,1990,3.42,5.75,7.25,8.83,1.92,27.17
Guatemala,1991,4.29,6,7.42,10.54,1.96,30.21
Guatemala,1992,5.38,6,8.54,10.58,2,32.5
Guatemala,1993,5,6,9,10.08,0.33,30.41
Guatemala,1994,4.71,6,8.5,9.21,2.5,30.92
Guatemala,1995,4.5,6,8.88,11,2,32.38
